Data,Red,Green,Blue,Clear,Lux,Color,Object
10/4/2024 23:23:45,109,124,117,359,86,Yellow,Packet
10/4/2024 23:24:11,147,51,49,243,49,Red,Can
10/4/2024 23:25:12,2577,3238,1372,7330,2979,Green,Box
10/4/2024 23:25:56,3932,4395,3036,11656,3581,White,Charger
10/4/2024 23:26:37,278,293,228,807,229,Black,surface
10/4/2024 23:27:25,3633,3168,1564,8541,2967,Yellow,Lighter
10/4/2024 23:28:20,236,251,179,682,203,Black,Box
10/4/2024 23:31:40,636,728,573,1986,560,White,Box
10/4/2024 23:33:00,75,61,45,181,51,Black,moneybag
10/4/2024 23:34:19,738,630,336,1754,581,Tan,khata
10/4/2024 23:36:27,993,795,509,2346,704,Tan,hand
10/4/2024 23:37:13,213,74,40,334,85,Orange,mug
10/4/2024 23:38:10,973,812,586,2443,684,Pink,net
10/4/2024 23:38:53,3837,4261,2902,11397,3494,White,calculator
10/4/2024 23:39:49,952,385,569,1866,261,Purple,medicine box
10/4/2024 23:41:00,638,586,331,1590,525,Yellow,cosmetics
10/4/2024 23:42:03,1126,823,407,2422,795,Tan,biscuit
10/4/2024 23:43:06,331,851,404,1623,716,Green,bottlecap
10/4/2024 23:44:22,263,428,363,1069,302,dark blue,Box
10/4/2024 23:48:34,1088,720,433,2257,675,Golden,veroboard
10/4/2024 23:49:19,440,963,1317,2736,438,Blue,surface
10/4/2024 23:49:59,1077,802,454,2375,746,Golden,surface
10/4/2024 23:50:48,294,459,612,1388,227,Blue,tape
10/4/2024 23:51:17,4107,5031,1873,11337,4757,Yellow,highlighter
10/4/2024 23:52:19,365,212,158,732,191,Maroon,cover
10/4/2024 23:56:50,979,532,266,1779,547,Golden,saline
10/4/2024 23:57:27,1023,1048,559,2712,938,Yellow,paper
10/4/2024 23:57:36,1350,1376,726,3562,1237,Yellow,paper
10/4/2024 23:57:44,2010,2045,1063,5282,1846,Yellow,paper
10/4/2024 23:57:51,1799,1833,958,4738,1652,Yellow,paper
10/4/2024 23:58:56,554,803,529,1936,643,Olive,paper
10/4/2024 23:59:03,1171,1693,1086,4055,1370,Olive,paper
10/4/2024 23:59:09,1587,2306,1465,5507,1871,Olive,paper
10/4/2024 23:59:16,3694,6442,3868,14654,5226,Olive,paper
10/5/2024 0:01:47,689,522,459,1710,411,Pink,paper
10/5/2024 0:01:55,980,729,633,2396,581,Pink,paper
10/5/2024 0:02:02,702,531,467,1740,419,Pink,paper
10/5/2024 0:02:12,823,619,541,2030,490,Pink,paper
10/5/2024 0:03:00,943,946,399,2345,897,Yellow,motor
10/5/2024 0:03:48,89,95,73,261,74,Black,headset
10/5/2024 0:04:58,1696,1896,1408,5157,1501,White,paper
10/5/2024 0:06:13,306,363,246,939,295,Teal,card
10/5/2024 0:06:30,197,226,164,591,179,Teal,card
10/5/2024 0:09:01,54,89,84,230,59,Sky Blue,book cover
